Vehicle Detector Trend Report (SE Queensland STREAMS);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
From: 2/09/2019 12:00 AM;;;;;;;;;;;;;;;;;;
To:   3/09/2019 12:00 AM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1-Minute Flow [vehicles/hour];;;;;;;;;;;;;;;;;;
Time;820AS SB;820AN SB;820 SB;819 SB;818 SB;213-SB;212-SB;211-SB;209-SB;208-SB;207-SB;206-SB;205-SB;204-SB;203S SB;203N SB;202-SB;201-SB
;820AS SB;820AN SB;820 SB;819 SB;818 SB;213-SB;212-SB;211-SB;209-SB;208-SB;207-SB;206-SB;205-SB;204-SB;203S SB;203N SB;202-SB;201-SB
0:00;60;240;0;240;300;60;180;60;240;180;240;300;240;360;360;420;180;180
0:01;480;300;240;;240;60;60;60;60;180;120;180;240;180;300;240;420;360
0:02;240;240;420;;300;180;180;120;0;0;60;60;120;180;0;0;120;180
0:03;60;60;180;;240;60;60;120;180;180;180;0;0;0;60;60;60;60
0:04;180;120;120;;60;180;180;60;60;120;120;240;180;180;0;60;0;0
0:05;0;60;0;0;120;120;120;120;120;120;60;120;120;120;180;240;120;120
0:06;360;300;240;;60;60;0;60;120;120;120;120;120;120;120;60;120;120
0:07;180;120;300;;360;120;180;60;60;0;60;60;120;120;60;60;120;120
0:08;240;240;180;0;120;120;60;120;120;180;120;60;60;0;0;0;0;0
0:09;0;0;0;180;240;420;240;180;60;60;120;120;120;120;60;60;60;0
0:10;60;120;60;0;0;120;300;300;420;180;120;60;60;120;120;60;120;120
0:11;120;60;120;120;60;60;120;180;120;300;360;420;240;120;120;180;60;120
0:12;120;180;60;120;120;180;180;120;120;120;120;120;240;360;300;240;300;120
0:13;300;240;360;120;120;120;60;120;120;180;120;180;180;120;120;120;60;240
0:14;180;180;60;240;300;120;180;120;120;120;120;120;120;120;120;120;180;120
0:15;120;120;180;240;180;60;0;60;120;120;120;60;120;120;120;120;120;120
0:16;180;180;180;60;120;300;300;60;60;60;120;120;120;180;60;120;60;120
0:17;120;120;120;240;120;120;180;240;180;180;180;120;60;60;60;60;120;120
0:18;120;120;180;180;180;60;0;0;60;120;180;360;300;240;120;180;60;60
0:19;300;360;180;60;120;180;240;180;60;0;0;0;60;120;300;180;240;180
0:20;360;300;420;480;360;240;60;60;180;300;240;180;60;0;0;0;60;120
0:21;60;60;120;120;300;120;180;0;0;0;60;120;240;300;180;180;60;0
0:22;180;180;120;120;60;240;300;300;180;120;60;0;0;0;120;120;240;300
0:23;180;180;240;300;180;120;120;60;180;300;300;300;180;60;0;60;0;0
0:24;60;60;0;0;180;180;240;180;120;120;60;120;240;300;300;300;240;120
0:25;420;480;420;120;60;180;120;180;120;180;240;120;60;120;120;60;180;240
0:26;180;240;240;420;480;120;120;0;120;120;120;240;180;180;180;180;120;120
0:27;240;240;180;240;120;240;120;120;60;60;60;0;120;120;180;180;240;180
0:28;180;120;240;180;300;300;300;180;240;240;120;180;120;60;0;0;0;120
0:29;0;60;0;120;120;180;300;300;180;240;240;240;180;240;120;120;60;60
0:30;300;180;240;240;0;60;120;120;240;300;420;240;240;180;240;240;180;180
0:31;300;360;240;180;360;420;300;300;60;180;120;240;300;360;180;240;180;180
0:32;180;240;180;240;240;180;240;240;420;300;360;240;180;180;120;240;240;300
0:33;180;60;300;300;240;300;300;120;180;360;180;300;360;300;300;360;60;60
0:34;300;360;120;120;180;120;120;240;240;300;360;240;300;300;180;120;420;300
0:35;180;120;360;300;360;60;120;120;60;0;120;240;300;300;240;360;180;240
0:36;300;300;180;240;120;180;120;60;60;180;180;60;0;60;120;60;240;240
0:37;60;60;180;180;300;0;60;120;180;120;60;180;180;180;60;180;0;0
0:38;120;180;0;60;60;120;120;0;0;60;120;120;180;120;180;60;180;180
0:39;120;120;180;180;180;300;300;180;120;120;0;0;0;60;120;120;180;120
0:40;180;120;240;120;120;180;120;300;300;300;180;180;120;120;0;0;0;60
0:41;0;0;0;120;120;120;60;60;120;120;300;300;300;120;180;180;120;120
