;820 SB;819 SB;818 SB;817 SB;816 SB;815 SB;814 SB;813 SB;812 SB;811 SB;810 SB
07:50;2460;4860;3780;5160;4260;3720;5040;2820;4860;5520;6120
07:51;4080;4200;4980;5160;4140;4740;3900;2520;5460;5280;5400
07:52;5040;4800;4680;4980;4140;4440;3600;3000;5880;5760;5640
07:53;4620;5040;5220;5100;4080;3360;4260;2640;5700;5400;5880
07:54;5100;5160;5040;4740;5040;3720;3720;2520;5580;5400;5880
07:55;4620;5460;5280;5100;3000;4560;3900;2820;5760;5760;5640
07:56;4680;4380;4980;5040;4380;2880;4260;2520;5460;5640;5880
07:57;5280;5340;4980;4200;4140;4260;3300;2520;6300;6000;6060
07:58;5160;4980;4740;5160;3720;4020;4440;2580;5940;5820;6180
07:59;5460;5640;5220;4500;4140;2520;4200;2760;6300;5940;5760
08:00;5160;5100;6000;5100;3360;4440;4440;2520;5880;5700;5520
08:01;5340;5160;4020;4980;3780;4740;3900;2460;5040;5700;6300
08:02;3720;5400;5100;3600;4380;4260;3900;2160;5820;5580;5640
08:03;5040;3720;3540;5460;4800;3060;3600;3000;6000;5280;5040
08:04;4560;5100;4920;5400;4320;3840;4380;2580;5160;5400;6000
08:05;4080;4380;5400;5460;3720;5040;4680;1980;5100;5580;5400
08:06;4920;4560;4620;3960;4620;4620;3300;1740;5640;5760;5580
08:07;5520;5280;4740;5040;4440;3420;2340;2640;5880;5220;5700
08:08;4560;4980;5400;5220;3600;2460;4320;2400;6000;5700;5340
08:09;4920;4680;4800;5700;3540;3780;4500;2940;5640;5820;6060
08:10;4740;4980;4860;3660;2940;4440;3840;2400;5460;5580;6000
08:11;5040;4920;4680;3540;3960;4560;4020;2160;5820;5640;5460
08:12;3240;4620;5100;3960;4740;4020;2820;1920;5400;5220;5700
08:13;3960;3720;3060;5100;4560;3240;3300;2460;5160;5760;5520
08:14;5160;4860;3660;4980;4020;2940;3720;2160;5760;5520;5700
08:15;3780;4140;4800;4440;3300;3720;3840;2520;5280;5580;6120
08:16;3300;3600;4440;4740;3300;3720;3840;2640;6600;5640;5220
08:17;3780;3480;3600;3840;3840;3420;3780;2700;5940;5340;5640
08:18;3720;4260;4200;3840;3540;3060;4080;2340;4740;5700;5640
08:19;3960;4320;3600;4500;2820;3900;3660;2340;5460;5640;5580
08:20;3660;3420;4320;4620;4080;4500;3600;2460;6000;5220;5820
08:21;4260;3960;4020;3480;3240;3420;3660;2760;5100;5640;5460
08:22;4140;4380;4500;4080;3120;3300;4020;2460;5700;5280;5280
08:23;5280;5220;4500;4560;4140;3780;4140;2100;5280;5460;6180
08:24;4500;4320;4800;5520;4200;3780;4020;2340;5340;5460;5460
08:25;4380;4500;4860;4260;3120;3960;3660;2460;6000;5040;5100
08:26;3480;3960;4140;4500;3780;3960;3900;2580;5160;5760;5580
08:27;4620;4620;3540;3480;2880;3420;4320;2160;4800;5160;5520
08:28;3840;3540;4320;4500;4020;3000;3180;2580;5700;5220;5220
08:29;3660;3960;3960;3960;2880;3720;3120;2520;5820;5700;6180
08:30;3660;3540;3420;3660;3120;3300;3900;2280;6000;6060;5580
08:31;3780;4260;3900;3900;2880;2640;3120;2040;5820;5880;6180
08:32;3180;3240;3840;3540;3120;3000;2880;2160;5340;5100;5580
08:33;4200;3660;3480;3420;2520;2880;3360;2160;5280;5340;5160
08:34;3360;4380;4380;4320;3300;3300;2760;1800;6480;6000;5520
08:35;3480;3120;3180;2940;3120;3240;3720;2460;5040;5520;6180
08:36;3960;4140;3360;3600;3000;2820;2460;1920;5220;4980;5340
08:37;4440;4080;3900;4140;2940;2940;2940;1860;4320;5460;5580
08:38;4140;4200;4740;4680;3120;3120;3060;2100;4680;4920;5100
08:39;4080;3960;3840;3840;3900;3900;4320;2100;4560;3960;4680
08:40;4860;4920;4620;4140;2760;3240;2820;2580;5940;4920;4620
08:41;4980;4680;4680;5160;4500;3660;3780;2280;5040;5880;5640
08:42;3900;4440;5040;4560;3780;4320;3900;2520;5280;4740;4860
08:43;3720;3900;3600;4020;3900;4080;4260;2280;5460;4740;5400
08:44;4440;4140;3660;3780;3060;2940;3420;2280;5100;5220;5040
08:45;4440;4200;4740;4560;3360;3120;2700;2280;4440;4620;5040
08:46;4860;4980;4320;3780;3300;3540;3540;1980;3900;4320;4380
08:47;4200;4620;5220;5340;3720;3360;3360;2100;4860;4620;4440
08:48;3840;3780;4080;4260;4080;4140;3840;2280;4980;4800;4560
08:49;3660;3840;3360;3720;2580;3180;3720;2520;5400;4680;4980
08:50;3240;4020;4140;3720;3180;2700;2880;1560;4980;5460;4920
08:51;3840;3060;2700;3480;3120;3360;2760;2160;4020;3840;4800
08:52;4620;4380;4440;3780;2520;2340;2820;2160;4560;3780;3780
08:53;3840;3960;4500;4740;3780;3600;3300;1500;3120;4440;4980
08:54;5520;4980;4380;3960;2820;3240;3300;2220;4860;3660;3480
08:55;4500;5040;5460;5160;4020;3480;3600;2160;4440;4980;4680
08:56;4680;4560;4380;4680;3720;4140;3540;2460;4800;4800;4980
08:57;4200;4560;4440;5040;3720;3300;3780;2460;5400;4980;4980
08:58;4320;3900;4500;3960;3660;3540;3900;2640;4380;4800;5160
08:59;4260;4500;4140;4140;2820;3660;3360;2160;5160;4920;5160
09:00;3480;3720;4260;4620;4440;3600;3000;2220;4980;4440;4680
09:01;4380;3840;3060;2940;3180;3660;4320;2700;4980;4380;4080
09:02;4560;5220;5160;4260;3600;2940;2700;2400;4440;4440;5160
09:03;4200;3600;3900;4800;4260;4320;3720;2160;4020;4260;4560
09:04;3420;4320;4500;4020;2640;2820;3780;2520;5100;4500;4140
09:05;4380;3720;3120;3600;3120;3420;3300;1980;4200;4560;4800
09:06;3660;3960;4800;4260;2760;2160;2460;1920;4380;4320;4140
09:07;4920;4020;3300;3720;3420;4020;3180;1980;3360;3720;3600
09:08;4740;4860;5040;4860;3480;2640;3300;2340;4920;4020;4020
09:09;3240;4260;4440;4620;4020;4380;4200;2520;4020;3780;4440
09:10;3120;3480;3720;3240;3480;3780;3600;2580;5400;5160;4740
09:11;4740;3300;3180;3300;2880;3000;3120;2400;4620;4620;4500
09:12;5700;5160;4860;4320;2880;2640;2640;2100;4620;4500;4740
09:13;3720;4680;5520;6000;4320;3720;3420;1980;3720;3900;3780
09:14;3780;4680;4320;4020;3660;4560;4680;2880;5280;4500;4500
09:15;3780;3300;3480;3660;3720;3660;3420;2460;5640;5580;5340
09:16;4260;3300;3180;3780;3000;2880;3060;2100;4860;4620;5040
09:17;3120;4020;3960;4260;2580;2580;2880;2040;4080;4020;4500
09:18;4620;4560;4260;3480;3180;2820;3120;1860;3180;3540;3780
09:19;4440;4440;4320;4320;3660;3660;2940;2280;4500;4080;3720
09:20;3720;3300;3840;4380;3660;3840;3540;2520;5040;4740;4200
09:21;4620;4440;4680;3300;2820;3120;3600;2160;5640;4920;5040
09:22;4740;4740;4140;5280;3840;3780;3000;1740;3960;4500;4920
09:23;3840;3900;4320;4680;4080;3600;4200;2460;4740;4500;3960
09:24;5160;5520;4560;3720;3180;3600;4080;2520;5040;4200;4680
09:25;4380;4680;5220;5280;4500;3720;3120;1980;4500;4980;5040
09:26;4920;4320;4500;4500;4140;4680;4440;2520;4920;4860;4740
09:27;4740;4980;4500;4920;3960;3540;3720;2760;6120;5760;5340
09:28;3840;4440;5040;4680;4260;4260;4380;2100;3600;4140;5280
09:29;3480;3300;3300;4140;3480;4080;3840;3060;5340;4080;3720
09:30;2700;3240;3420;3180;2760;2340;3180;2340;5160;5220;5460
09:31;3300;2700;2760;2820;2580;2940;2700;1800;3300;3780;4440
09:32;3780;3600;2940;3300;2460;2460;2460;2100;4020;3660;3300
09:33;2880;3180;3960;3660;3060;2220;3060;1620;3900;4440;4320
09:34;4020;3900;3360;3120;2160;2940;2880;2160;3300;3060;3300
09:35;5340;4860;4740;3900;3240;2820;2340;1500;4380;4200;3960
09:36;4620;5160;5160;5220;4320;4260;3360;2100;4320;3360;3240
09:37;5340;4860;4020;4500;3900;3960;4320;2580;5160;4560;4860
09:38;4500;4260;5460;5460;4320;3660;3420;2220;5760;5580;5100
09:39;5340;5580;5160;4500;3480;4680;4920;2820;4260;4320;4860
09:40;5100;5280;5040;5160;4500;4380;3720;2100;5460;6060;5640
09:41;3900;4320;4980;5580;4200;3840;4320;2460;5760;4500;4320
09:42;3240;3840;4200;3780;3840;3840;4500;2460;4980;4980;5520
09:43;3480;3540;2220;3060;2760;3660;3240;2820;4080;4980;4680
09:44;3900;3600;4140;3660;2700;1740;2160;1860;4380;3960;4920
09:45;4800;4620;4080;3900;2760;3240;3000;2220;2880;3120;3120
