;820 SB;819 SB;818 SB;817 SB;816 SB;815 SB;814 SB;813 SB;812 SB;811 SB;810 SB
06:00;98.32446676;100.4154954;98.97857461;97.59727322;99.52065777;100.0798128;99.15421063;96.9042966;93.33344866;88.53320131;92.42454694
06:01;86.15584707;93.78448377;97.30281769;99.24454286;100.4465219;100.4650427;98.90416469;96.07947848;94.02383076;94.891212;95.85465277
06:02;96.17902327;90.47923677;92.62764864;95.51025912;96.33729667;97.22498076;98.03346701;97.93213336;93.5373088;93.23662174;95.27665231
06:03;95.86576289;98.55024972;99.68815912;97.19638082;95.33753983;95.39373834;96.10953212;94.40309266;92.16677295;95.36458003;97.90532396
06:04;94.71433551;96.62247116;95.8850783;98.31478175;99.17499147;98.58364306;96.34763369;92.79648146;85.41736334;88.34744918;94.79029849
06:05;93.9071894;95.07538588;97.50605115;97.39979115;96.93323172;97.22055215;98.04728058;97.11108992;86.39641031;71.04679378;89.83289797
06:06;94.37111449;98.09971924;98.18154578;98.53797524;98.25318901;98.30246852;96.23743061;94.48191073;92.3016372;77.4898107;86.47816723
06:07;95.02839788;95.87553453;97.12279442;96.14734845;97.45824175;98.9744761;98.8586423;97.1929784;91.93773703;89.1413448;91.87861032
06:08;86.81131116;87.13257249;95.85297831;99.76311583;96.42023539;96.28211199;96.99308;97.78317059;93.47051488;68.5831584;91.41393419
06:09;81.42629171;72.91624881;88.87850642;93.96379917;97.33895931;100.1726964;96.43752776;93.01994385;89.13431974;78.95521678;86.81034926
06:10;95.99959173;93.09804717;92.82820314;95.93598887;98.09443147;96.06520098;95.57372304;91.24937582;95.71045886;86.54216425;92.10449816
06:11;92.8597041;99.22122963;99.7177292;98.22568829;98.66523164;96.61868277;99.00480335;95.4685161;79.57977964;87.77102472;96.61272907
06:12;93.21512541;90.96581608;94.99418264;97.98661872;99.32576847;100.829056;97.29591163;94.54407117;88.01994947;65.04397397;87.06202212
06:13;97.04596226;99.87942601;99.32915271;95.82153682;97.95894007;97.51000328;98.50460797;96.73469385;93.61064081;65.29376441;81.22868801
06:14;94.05252756;96.91380583;98.32622954;100.9357883;100.6086474;99.91845844;97.90436274;96.06857886;85.77324386;73.35349694;88.67958277
06:15;95.26954537;98.0207045;96.6387929;96.36509371;96.88124824;99.68437938;101.2597915;99.23844682;67.67775207;65.52328856;89.50112163
06:16;94.53695666;97.05448684;98.57533999;99.37091591;98.52639391;96.18428146;96.56226251;95.48;44.68029247;66.49909714;86.78089249
06:17;96.3247022;96.72276017;97.76424716;98.35402048;98.53972259;98.53715318;98.85406413;95.26980116;55.64274318;64.68753031;85.96513284
06:18;96.02270155;97.20777581;97.95215503;97.56561816;97.60523027;98.41862279;98.0245584;95.38900686;59.3703826;57.36859082;82.27572988
06:19;94.22699661;94.7219655;96.59577327;98.74196436;99.31380877;97.77335374;94.67851848;88.28312599;49.48231378;54.27687191;79.62781079
06:20;94.30841145;96.39884197;96.39636708;94.78594686;95.18771251;95.86634258;91.04598261;77.68979231;39.91237166;59.80285214;81.23574858
06:21;95.26041361;92.91251221;94.76622721;95.61143396;98.68035686;95.37402295;87.92879952;68.48573529;54.8455995;51.8850512;83.76218468
06:22;98.32620812;97.19257837;96.83425456;96.31957395;97.32755466;95.5731639;87.7020522;69.84961481;49.32317467;52.11988708;78.44588224
06:23;93.98810516;94.25379977;98.18187699;99.03573984;99.2282712;95.70847996;90.69195018;68.3287008;35.6725531;54.63668072;79.45187709
06:24;87.86419908;91.52058678;95.6621215;96.75793828;98.5676618;98.68910236;92.14918491;64.93218616;38.32590962;59.81418592;74.44093546
06:25;95.72154437;96.88630467;96.15792914;97.70877696;96.28159214;95.24124068;90.06528923;68.48624992;34.12215213;59.93308357;77.98844157
06:26;96.10057536;96.78256793;97.06708395;98.13521065;100.0063274;97.1918116;92.46628191;72.30176232;40.77086892;60.35455548;82.59123041
06:27;90.26238512;94.03964151;96.7385646;97.55658969;97.84580273;95.70606048;92.7674214;82.67855324;47.61451571;53.90949294;83.31677151
06:28;90.67336683;89.3387516;93.04372017;95.19469278;95.77054359;92.84538882;90.37339845;78.80627377;38.78857506;52.75640975;76.10298785
06:29;95.03562573;92.14528274;94.12094411;94.13914231;96.02408608;95.60964861;90.41705122;78.64935696;34.7816552;57.65285047;83.4035441
06:30;96.68987305;94.48187256;94.6719266;96.25088908;97.55223543;94.44696235;89.76827755;71.16180376;40.69189827;51.68383297;81.53502947
06:31;93.88263076;96.71435682;97.64741449;97.98912549;96.99334888;92.14470288;87.86277771;68.59142104;32.84419227;54.56493752;81.89689582
06:32;92.39316231;76.55871402;96.04639606;99.56321454;98.70997081;95.99143983;84.93084055;49.82439244;29.28670604;57.23645024;80.31964054
06:33;95.62897618;94.33212122;89.94541284;95.11220087;100.2698913;98.97232638;84.80734624;41.67894362;28.6095273;59.43176294;76.78218874
06:34;93.7433432;93.97017178;95.78828077;96.9062197;96.68962568;94.48151833;74.62288495;38.16287898;33.87385063;61.04111445;80.34844552
